STATE_ABR,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV
US,10,0,0,0,United States,0,0,3944160,3951454,3962971,3926486,3931208,3954725,3984294,3955377,3939295
US,10,0,0,0,United States,0,1,3978090,3957695,3966056,3977264,3942441,3948689,3973189,4004017,3975252
US,10,0,0,0,United States,0,2,4096939,4090616,3970491,3978648,3991295,3958296,3965536,3990991,4021775
US,10,0,0,0,United States,0,3,4119051,4111682,4101643,3981321,3990699,4005424,3973376,3981326,4006755
US,10,0,0,0,United States,0,4,4063186,4077326,4121485,4111444,3992298,4003684,4019335,3987866,3995783
US,10,0,0,0,United States,0,5,4056872,4064480,4087056,4131048,4121794,4004373,4016658,4032787,4001318
US,10,0,0,0,United States,0,6,4066412,4072889,4074516,4096654,4141144,4133300,4016732,4029444,4045532
US,10,0,0,0,United States,0,7,4030594,4042967,4082870,4084201,4106863,4152751,4145829,4029700,4042379
US,10,0,0,0,United States,0,8,4046497,4025495,4052889,4092669,4094674,4118570,4165408,4158968,4042838
US,10,0,0,0,United States,0,9,4148369,4125317,4035461,4062842,4103296,4106389,4131317,4178605,4172171
US,10,0,0,0,United States,0,10,4172559,4186959,4135458,4045601,4073237,4115033,4119269,4144625,4191919
US,10,0,0,0,United States,0,11,4114443,4115452,4197307,4145939,4056173,4085016,4128022,4132611,4157962
US,10,0,0,0,United States,0,12,4106261,4113239,4126020,4208003,4156759,4067899,4097932,4141353,4145953
US,10,0,0,0,United States,0,13,4118055,4119585,4124131,4136655,4219019,4169022,4081296,4111886,4155315
US,10,0,0,0,United States,0,14,4166059,4145490,4131295,4135424,4148560,4232526,4183831,4096727,4127305
US,10,0,0,0,United States,0,15,4242946,4230902,4158739,4143882,4149009,4164225,4249635,4201611,4114560
US,10,0,0,0,United States,0,16,4316311,4313090,4247235,4174315,4160427,4167605,4184373,4270670,4222691
US,10,0,0,0,United States,0,17,4395196,4375125,4333695,4267210,4194548,4182890,4191286,4209213,4295168
US,10,0,0,0,United States,0,18,4482436,4474425,4386156,4344004,4276385,4207169,4195549,4204110,4219505
US,10,0,0,0,United States,0,19,4533403,4520730,4471152,4379461,4331693,4269945,4203370,4191372,4199586
US,10,0,0,0,United States,0,20,4452626,4501064,4536684,4485716,4389397,4347521,4288346,4221448,4210050
US,10,0,0,0,United States,0,21,4280148,4312385,4520006,4558777,4503115,4410393,4371852,4312907,4245917
US,10,0,0,0,United States,0,22,4188295,4207857,4335653,4546272,4584324,4530793,4442192,4403367,4344484
US,10,0,0,0,United States,0,23,4122832,4140397,4238098,4369165,4580390,4620678,4570125,4481373,4443317
US,10,0,0,0,United States,0,24,4176530,4170147,4172334,4272278,4403974,4618532,4662023,4609590,4521713
US,10,0,0,0,United States,0,25,4194785,4220626,4200558,4205359,4305470,4439961,4657791,4700193,4647331
US,10,0,0,0,United States,0,26,4090707,4098198,4248400,4231640,4237101,4339614,4478222,4694014,4737089
US,10,0,0,0,United States,0,27,4192055,4179511,4124900,4278443,4263138,4271627,4377996,4513850,4730444
US,10,0,0,0,United States,0,28,4164505,4195291,4203841,4152059,4306629,4295320,4307785,4411532,4547023
US,10,0,0,0,United States,0,29,4176622,4162951,4216972,4228441,4178046,4335946,4329382,4339031,4442645
US,10,0,0,0,United States,0,30,4242932,4260809,4182275,4238464,4252066,4205194,4367377,4358702,4367963
US,10,0,0,0,United States,0,31,3931662,4002821,4277628,4201001,4258535,4275130,4232957,4392317,4384248
US,10,0,0,0,United States,0,32,3951250,3931356,4017589,4293630,4218559,4278538,4299256,4254976,4414393
US,10,0,0,0,United States,0,33,3847378,3899700,3944685,4031165,4308823,4236102,4299586,4318866,4274225
US,10,0,0,0,United States,0,34,3808010,3791049,3911141,3956898,4043995,4324319,4255048,4316894,4336482
US,10,0,0,0,United States,0,35,3925951,3917170,3801369,3922134,3968445,4057047,4340987,4270080,4331736
US,10,0,0,0,United States,0,36,3772160,3800184,3925408,3810412,3931772,3979851,4071502,4353511,4282684
US,10,0,0,0,United States,0,37,3903846,3865871,3807070,3933105,3818763,3941529,3992694,4082469,4364321
US,10,0,0,0,United States,0,38,4091007,4049264,3872324,3814307,3940747,3828327,3953446,4003575,4093131
US,10,0,0,0,United States,0,39,4334934,4294244,4056322,3879682,3822505,3951069,3841055,3964763,4014803
US,10,0,0,0,United States,0,40,4357357,4360686,4299008,4062252,3886263,3830915,3961420,3850329,3973909
US,10,0,0,0,United States,0,41,4092163,4140417,4363267,4302696,4067250,3892507,3839494,3968763,3857663
US,10,0,0,0,United States,0,42,4056289,4062502,4142175,4365702,4305847,4072075,3899176,3845219,3974225
US,10,0,0,0,United States,0,43,4087645,4075973,4063722,4143468,4366815,4308800,4077333,3903677,3849574
US,10,0,0,0,United States,0,44,4196175,4162821,4076118,4063925,4143417,4367882,4312043,4080105,3906693
US,10,0,0,0,United States,0,45,4495283,4424709,4160857,4074835,4062080,4142591,4368517,4312196,4080411
US,10,0,0,0,United States,0,46,4508184,4517735,4420515,4157290,4071070,4059286,4141252,4366149,4310196
US,10,0,0,0,United States,0,47,4525595,4525272,4511164,4414642,4151900,4067031,4056653,4138044,4362318
US,10,0,0,0,United States,0,48,4531068,4526538,4516425,4502992,4406710,4145529,4062484,4051753,4132978
US,10,0,0,0,United States,0,49,4599880,4592615,4515661,4506364,4492906,4397821,4138940,4055593,4045175
US,10,0,0,0,United States,0,50,4655620,4641153,4579216,4503375,4493807,4481212,4387883,4129414,4046624
US,10,0,0,0,United States,0,51,4461009,4495111,4625784,4564272,4488068,4479272,4468191,4374931,4117806
US,10,0,0,0,United States,0,52,4497983,4477577,4478023,4608349,4546559,4471642,4463897,4452577,4360280
US,10,0,0,0,United States,0,53,4378170,4436984,4458431,4459068,4588990,4527832,4453973,4445905,4435184
US,10,0,0,0,United States,0,54,4290311,4286593,4415964,4437812,4438209,4567971,4507464,4433567,4426310
US,10,0,0,0,United States,0,55,4253413,4257470,4264088,4393459,4414720,4415330,4545383,4484655,4412038
US,10,0,0,0,United States,0,56,4036481,4091992,4233842,4240371,4368005,4389476,4390605,4520042,4460384
US,10,0,0,0,United States,0,57,3935468,3945532,4067170,4208543,4214042,4341029,4362683,4363635,4492894
US,10,0,0,0,United States,0,58,3794270,3801656,3919583,4041071,4180615,4185993,4312437,4333756,4335411
US,10,0,0,0,United States,0,59,3640765,3693635,3774651,3892544,4012142,4151100,4156375,4281580,4303509
US,10,0,0,0,United States,0,60,3620930,3616399,3665966,3746458,3862635,3981538,4119762,4124651,4249716
US,10,0,0,0,United States,0,61,3492462,3519939,3587415,3636357,3715290,3830549,3948612,4085847,4091534
US,10,0,0,0,United States,0,62,3563184,3495026,3488867,3556364,3603802,3682116,3796333,3913543,4050130
US,10,0,0,0,United States,0,63,3483896,3652127,3460832,3455644,3521959,3569030,3646277,3758896,3875892
US,10,0,0,0,United States,0,64,2657107,2706014,3613803,3424854,3418825,3485931,3531742,3607526,3720021
US,10,0,0,0,United States,0,65,2680815,2678528,2675466,3573950,3385678,3380825,3447219,3492271,3567978
US,10,0,0,0,United States,0,66,2639209,2621359,2645920,2643322,3530144,3344794,3340042,3405526,3451069
US,10,0,0,0,United States,0,67,2649426,2693743,2585932,2611346,2608170,3484014,3300801,3296304,3361747
US,10,0,0,0,United States,0,68,2323736,2359862,2653842,2548173,2573554,2571100,3434771,3254306,3251249
US,10,0,0,0,United States,0,69,2142381,2167896,2321680,2611661,2507086,2533751,2531174,3381146,3204338
US,10,0,0,0,United States,0,70,2043178,2062660,2129537,2281747,2565768,2464843,2490999,2488370,3324662
US,10,0,0,0,United States,0,71,1949391,1953665,2022881,2089893,2238309,2519507,2419540,2446446,2443843
US,10,0,0,0,United States,0,72,1864324,1883894,1912282,1981539,2046427,2194211,2468839,2372281,2399286
US,10,0,0,0,United States,0,73,1737022,1750372,1840052,1869214,1936203,2002134,2145541,2415320,2321473
US,10,0,0,0,United States,0,74,1684563,1686065,1705554,1794560,1821988,1889901,1953194,2094035,2357801
US,10,0,0,0,United States,0,75,1620158,1631948,1638654,1659192,1744755,1773949,1839060,1901800,2039236
US,10,0,0,0,United States,0,76,1471157,1481772,1581379,1589512,1608437,1694182,1721269,1785775,1847158
US,10,0,0,0,United States,0,77,1455414,1449228,1430871,1529055,1535801,1556807,1638604,1666031,1729114
US,10,0,0,0,United States,0,78,1400205,1402261,1394574,1378369,1471959,1481179,1500111,1580281,1607240
US,10,0,0,0,United States,0,79,1371312,1355002,1343797,1338237,1321224,1414026,1421387,1440868,1518513
US,10,0,0,0,United States,0,80,1308608,1319813,1292519,1283536,1277082,1263371,1350788,1359236,1378494
US,10,0,0,0,United States,0,81,1212976,1212664,1252511,1228264,1218481,1215525,1200591,1285201,1293831
US,10,0,0,0,United States,0,82,1161546,1158424,1143974,1183647,1159174,1153165,1148785,1135811,1216640
US,10,0,0,0,United States,0,83,1074941,1081505,1085413,1073832,1109606,1089796,1082286,1079926,1068110
US,10,0,0,0,United States,0,84,985854,987098,1005470,1011161,998639,1035631,1014952,1009519,1008215
US,10,0,0,0,United States,0,85,5495003,5543134,5701892,5878177,6014210,6154403,6278584,6381877,6468682
US,10,0,0,0,United States,0,999,307528001,308103182,310426630,312753113,314991937,317396594,319843325,322211400,324536615
US,10,0,0,0,United States,1,0,2014278,2018489,2028365,2007687,2009717,2024473,2037837,2021764,2015150
US,10,0,0,0,United States,1,1,2030861,2020238,2025239,2035061,2015564,2018408,2033678,2047678,2031718
US,10,0,0,0,United States,1,2,2092202,2088564,2026382,2031249,2041998,2023505,2026909,2042666,2056625
US,10,0,0,0,United States,1,3,2104555,2101148,2093834,2031539,2036967,2048966,2030982,2034744,2050474
US,10,0,0,0,United States,1,4,2077556,2084202,2105860,2098540,2036784,2043405,2055928,2038254,2042001
